Date,Price,Open,High,Low,Vol.,Change %
10/13/2023,"1,552.80","1,542.00","1,574.90","1,539.10",3.59K,0.70%
10/12/2023,"1,542.00","1,567.40","1,569.90","1,524.70",10.76K,-1.62%
10/11/2023,"1,567.40","1,568.90","1,579.30","1,550.00",5.59K,-0.10%
10/10/2023,"1,568.90","1,581.30","1,596.00","1,553.40",2.81K,-0.78%
10/9/2023,"1,581.30","1,633.20","1,636.00","1,553.50",8.66K,-3.18%
10/8/2023,"1,633.20","1,634.50","1,641.20","1,617.00",1.55K,-0.08%
10/7/2023,"1,634.50","1,645.70","1,647.90","1,630.50",0.95K,-0.68%
10/6/2023,"1,645.70","1,611.50","1,661.20","1,611.50",4.44K,2.12%
10/5/2023,"1,611.50","1,648.90","1,656.10","1,610.00",2.94K,-2.27%
10/4/2023,"1,648.90","1,656.70","1,658.10","1,628.70",3.31K,-0.47%
10/3/2023,"1,656.70","1,664.90","1,672.20","1,644.90",3.69K,-0.49%
10/2/2023,"1,664.90","1,735.00","1,746.00","1,637.90",10.41K,-4.04%
10/1/2023,"1,735.00","1,671.80","1,755.00","1,669.40",3.99K,3.78%
9/30/2023,"1,671.80","1,668.90","1,695.00","1,667.80",2.56K,0.17%
9/29/2023,"1,668.90","1,654.60","1,691.00","1,650.90",6.40K,0.86%
9/28/2023,"1,654.60","1,599.70","1,669.30","1,599.50",4.95K,3.43%
9/27/2023,"1,599.70","1,594.80","1,635.50","1,585.90",3.63K,0.31%
9/26/2023,"1,594.80","1,590.40","1,599.80","1,582.60",1.97K,0.28%
9/25/2023,"1,590.40","1,583.50","1,599.30","1,566.10",3.43K,0.44%
9/24/2023,"1,583.50","1,595.60","1,603.50","1,575.70",1.80K,-0.76%
9/23/2023,"1,595.60","1,595.40","1,600.00","1,590.60",1.38K,0.01%
9/22/2023,"1,595.40","1,586.00","1,603.80","1,579.50",1.97K,0.59%
9/21/2023,"1,586.00","1,623.10","1,626.40","1,571.00",7.70K,-2.29%
9/20/2023,"1,623.10","1,645.60","1,651.10","1,609.70",4.26K,-1.37%
9/19/2023,"1,645.60","1,638.40","1,661.30","1,628.90",3.31K,0.44%
9/18/2023,"1,638.40","1,624.30","1,671.30","1,606.60",4.57K,0.87%
9/17/2023,"1,624.30","1,635.80","1,636.00","1,614.00",1.38K,-0.70%
9/16/2023,"1,635.80","1,642.90","1,653.00","1,633.60",1.56K,-0.43%
9/15/2023,"1,642.90","1,627.60","1,653.80","1,613.60",2.60K,0.94%
9/14/2023,"1,627.60","1,609.20","1,644.80","1,608.70",3.86K,1.14%
9/13/2023,"1,609.20","1,593.70","1,619.20","1,583.80",3.29K,0.97%
9/12/2023,"1,593.70","1,552.40","1,626.90","1,551.10",5.35K,2.66%
9/11/2023,"1,552.40","1,618.80","1,619.60","1,534.60",6.90K,-4.10%
9/10/2023,"1,618.80","1,636.30","1,636.30","1,603.50",4.75K,-1.07%
9/9/2023,"1,636.30","1,637.40","1,638.00","1,630.60",2.06K,-0.07%
9/8/2023,"1,637.40","1,649.70","1,659.70","1,617.10",4.65K,-0.75%
9/7/2023,"1,649.70","1,634.30","1,661.70","1,625.20",3.29K,0.94%
9/6/2023,"1,634.30","1,634.60","1,666.80","1,613.20",8.81K,-0.02%
9/5/2023,"1,634.60","1,630.80","1,648.00","1,610.60",6.87K,0.23%
9/4/2023,"1,630.80","1,636.60","1,644.80","1,617.60",2.81K,-0.35%
