time[s],close,open,high,low,volume,change%
1708934400,106.91,104.97,107.11,104.63,152570.9384,1.828745595
1708930800,104.99,103.5,105,102.96,85274.10043,1.449415402
1708927200,103.49,101.58,103.5,101.55,18768.90834,1.880291396
1708923600,101.58,101.33,103.91,101.23,35769.30917,0.246718642
1708920000,101.33,100.91,101.49,100.35,17632.4524,0.416212467
1708916400,100.91,101.82,101.86,100.62,27654.2001,-0.89373404
1708912800,101.82,101.47,102.25,101.47,5516.197627,0.434010653
1708909200,101.38,103.6,103.95,101.38,11269.25488,-2.142857143
1708905600,103.6,103.3,104.06,103.24,4865.977956,0.27100271
1708902000,103.32,104.18,104.19,103.22,7714.773107,-0.825494337
1708898400,104.18,104.04,104.19,103.79,4578.913184,0.124939933
1708894800,104.05,103.08,104.1,103.07,41157.29807,0.931225143
1708891200,103.09,103.38,103.57,102.96,5075.919441,-0.26122291
1708887600,103.36,102.56,103.36,102.16,24219.33717,0.760382141
1708884000,102.58,103.44,103.51,102.58,33629.40906,-0.77384407
1708880400,103.38,103.93,104.73,103.38,7929.596561,-0.538772369
1708876800,103.94,103.45,103.94,103.19,3651.168299,0.454237943
1708873200,103.47,103.55,103.64,103.17,1667.65648,-0.057954216
1708869600,103.53,103.5,103.89,103.06,4200.41867,0.019321805
1708866000,103.51,103.69,103.88,103.23,3994.200876,-0.144703839
1708862400,103.66,103.34,104.3,103.32,22547.17218,0.299951621
1708858800,103.35,103.12,103.62,102.95,6963.231699,0.21332299
1708855200,103.13,103.34,103.35,102.82,3156.580343,-0.203212696
1708851600,103.34,102.67,103.38,102.63,6963.020761,0.623174294
1708848000,102.7,102.75,103.01,102.19,10056.27357,-0.019470405
1708844400,102.72,103.48,103.72,102.51,5699.445035,-0.734441438
1708840800,103.48,102.64,103.54,102.46,14857.5095,0.80857282
1708837200,102.65,103,103.1,102.56,2804.202522,-0.339805825
1708833600,103,102.78,103.52,102.3,17251.09445,0.184806925
1708830000,102.81,102.38,102.84,102.27,1126.242505,0.420003907
1708826400,102.38,102.43,102.52,102.09,3252.158451,-0.058570871
1708822800,102.44,102.46,102.68,102.23,2468.91835,-0.019519813
1708819200,102.46,102.97,103.01,102.42,3308.386457,-0.49528989
1708815600,102.97,103.16,103.24,102.78,7060.279579,-0.116403143
1708812000,103.09,103.33,103.58,103.03,2891.66251,-0.241919876
1708808400,103.34,103.15,103.42,102.83,1885.902601,0.193911189
1708804800,103.14,103.4,103.4,102.76,6207.629323,-0.241802882
1708801200,103.39,103.27,103.39,102.14,23592.76386,0.116200252
1708797600,103.27,103.82,104.33,103.09,14989.82983,-0.529763051
1708794000,103.82,103.72,103.95,103.26,7430.960623,0.096413421
1708790400,103.72,104.07,104.08,103.44,10661.42467,-0.345887779
1708786800,104.08,104.1,104.33,104.06,3087.395349,-0.048016902
1708783200,104.13,104.5,104.75,104.02,9513.781183,-0.363601569
1708779600,104.51,104.13,104.51,103.89,5332.467379,0.364928455
