Date,Price,Open,High,Low,Vol.,Change %
16-Oct-23,63.19,61.62,66.2,61.57,679.98K,2.55%
15-Oct-23,61.62,61.62,62.1,61.39,140.18K,0.00%
14-Oct-23,61.62,61.58,61.96,61.4,121.56K,0.06%
13-Oct-23,61.58,61.12,62.11,61.07,358.19K,0.70%
12-Oct-23,61.15,61.55,61.55,60.47,285.30K,-0.65%
11-Oct-23,61.55,63.58,63.75,61.18,287.05K,-3.19%
10-Oct-23,63.58,63.05,63.82,62.59,234.68K,0.84%
9-Oct-23,63.05,65.33,65.36,61.68,448.87K,-3.49%
8-Oct-23,65.33,65.45,65.97,64.98,316.31K,-0.18%
7-Oct-23,65.45,65.5,66.23,64.99,177.31K,-0.05%
6-Oct-23,65.48,64.8,65.92,64.39,259.05K,1.05%
5-Oct-23,64.8,64.42,65.2,63.93,371.72K,0.59%
4-Oct-23,64.42,65.5,65.51,63.58,389.30K,-1.65%
3-Oct-23,65.5,65.97,66.91,65.28,264.85K,-0.74%
2-Oct-23,65.99,68.13,68.37,65.24,559.86K,-3.14%
1-Oct-23,68.13,65.98,68.76,65.85,429.81K,3.29%
30-Sep-23,65.96,65.55,66.59,65.35,179.49K,0.59%
29-Sep-23,65.57,65.2,66.48,64.92,350.40K,0.57%
28-Sep-23,65.2,63.54,65.5,63.15,446.34K,2.61%
27-Sep-23,63.54,63.8,65.5,63.19,351.15K,-0.41%
26-Sep-23,63.8,64.34,65.03,63.18,371.06K,-0.84%
25-Sep-23,64.34,63.56,65.01,62.91,258.59K,1.23%
24-Sep-23,63.56,65.06,65.09,63.31,207.82K,-2.31%
23-Sep-23,65.06,64.36,65.24,64.36,387.91K,1.09%
22-Sep-23,64.36,64.69,65.87,64.1,442.56K,-0.51%
21-Sep-23,64.69,64.56,65.01,62.98,449.08K,0.20%
20-Sep-23,64.56,67.28,67.77,63.72,931.38K,-4.04%
19-Sep-23,67.28,65.87,68.27,65.68,526.94K,2.14%
18-Sep-23,65.87,63.57,67.64,63.05,790.15K,3.62%
17-Sep-23,63.57,65.39,65.4,62.94,497.12K,-2.78%
16-Sep-23,65.39,65.89,66.81,64.42,391.49K,-0.76%
15-Sep-23,65.89,62.82,66.19,62.57,540.57K,4.89%
14-Sep-23,62.82,61.98,63.36,61.95,638.08K,1.36%
13-Sep-23,61.98,59.95,62.7,59.67,512.02K,3.39%
12-Sep-23,59.95,58.85,61.29,58.65,617.09K,1.87%
11-Sep-23,58.85,61.12,61.62,57.79,792.91K,-3.71%
10-Sep-23,61.12,63.05,63.05,60.28,486.99K,-3.06%
9-Sep-23,63.05,62.61,63.23,62.53,153.12K,0.70%
8-Sep-23,62.61,63.72,64.09,61.64,370.51K,-1.74%
7-Sep-23,63.72,62.86,64.45,62.56,372.34K,1.37%
6-Sep-23,62.86,63.14,63.68,61.72,463.94K,-0.44%
5-Sep-23,63.14,63.75,63.76,62.58,475.83K,-0.96%
4-Sep-23,63.75,63.93,64.92,63.12,389.30K,-0.27%
3-Sep-23,63.92,64.59,64.82,63.59,257.57K,-1.04%
2-Sep-23,64.59,62.99,64.64,62.97,295.60K,2.54%
1-Sep-23,62.99,63.87,64.22,61.95,569.05K,-1.38%
31-Aug-23,63.87,67.66,68.3,63.38,688.00K,-5.60%
30-Aug-23,67.66,68.86,69.03,66.65,422.48K,-1.74%
29-Aug-23,68.86,65.51,70.5,64.61,953.14K,5.11%
28-Aug-23,65.51,65.39,65.72,64.12,401.86K,0.18%
27-Aug-23,65.39,65.01,65.93,64.85,232.03K,0.58%
26-Aug-23,65.01,65.13,65.57,64.91,205.56K,-0.18%
25-Aug-23,65.13,64.88,65.37,63.71,400.72K,0.39%
24-Aug-23,64.88,65.65,65.89,63.91,352.94K,-1.17%
23-Aug-23,65.65,64.8,66.75,64.08,548.73K,1.31%
22-Aug-23,64.8,66.98,67.2,62.58,727.16K,-3.25%
