value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.099,0.4,6,0.535,0.5,2,2,0,"""1-1""",,,
0.092,0.5,4,0.562,0.778,4,3,-2,"""0-2""",,,
0.485,0.667,6,0.093,0.7,4,2,0,"""0-0""",,,
0.455,0.4,3,0.882,1.0,0,3,-1,"""0-1""",,,
0.661,0.75,0,0.211,0.591,2,1,1,"""1-0""",,,
1.0,0.1,6,0.474,0.9,3,2,0,"""1-1""",,,
0.278,0.85,3,1.0,0.9,9,2,0,"""0-1""",,,
0.092,0.625,4,0.252,0.1,3,3,-2,"""0-2""",,,
0.597,0.444,6,0.271,0.95,9,1,1,"""2-1""",,,
0.857,0.6,3,0.11,1.0,3,1,3,"""2-3""",,,
0.066,0.944,0,1.0,0.125,2,3,1,"""1-1""",,,
0.068,1.0,0,1.0,0.0625,9,3,-3,"""1-4""",,,
0.574,0.2,4,0.962,0.3,2,1,1,"""2-1""",,,
0.983,0.15,3,0.084,0.125,7,1,-1,"""3-2""",,,
0.065,0.056,4,0.752,0.35,4,2,0,"""2-2""",,,
0.431,0.1,4,0.126,0.8,2,2,0,"""2-2""",,,
0.114,0.667,6,0.849,0.45,1,2,0,"""1-1""",,,
0.612,0.6,4,0.875,0.25,2,3,-2,"""0-2""",,,
0.66,0.75,6,0.211,0.3,2,1,1,"""1-0""",,,
0.325,0.214,5,0.043,0.455,3,2,0,"""0-0""",,,
0.336,0.7,4,0.043,0.75,3,2,0,"""1-1""",,,
0.44,0.611,4,0.573,0.95,0,3,-1,"""0-1""",,,
0.108,0.167,3,0.206,0.8,7,1,1,"""2-1""",,,
0.555,0.7,1,0.235,0.111,3,2,1,"""3-2""",,,
0.612,0.2,6,0.093,0.5,4,1,1,"""1-0""",,,
0.26,0.65,5,1.0,0.25,9,3,-2,"""0-2""",,,
0.597,0.2,4,0.126,0.7,5,1,3,"""3-0""",,,
0.345,0.056,4,0.043,0.7,3,2,0,"""3-3""",,,
0.465,0.333,2,0.218,0.222,1,2,0,"""0-0""",,,
0.123,0.6,4,0.487,0.8,2,3,-2,"""0-2""",,,
0.661,0.75,0,0.248,0.5,9,1,1,"""1-0""",,,
0.06,0.625,1,1.0,0.1,6,1,2,"""3-1""",,,
0.466,0.95,0,0.752,0.409,4,2,0,"""0-2""",,,
0.61,0.4,0,0.412,0.3,7,1,1,"""1-0""",,,
0.06,0.833,1,0.254,0.333,4,1,2,"""3-1""",,,
0.867,0.444,4,0.043,0.222,3,2,0,"""1-1""",,,
0.983,0.571,4,0.15,0.95,5,1,3,"""3-0""",,,
0.325,0.111,7,0.072,0.45,4,2,0,"""0-0""",,,
0.26,0.625,0,1.0,0.3,2,3,-3,"""1-4""",,,
0.612,0.889,3,0.402,1.0,0,3,-1,"""0-1""",,,
0.208,0.393,6,0.385,0.2,6,1,1,"""2-1""",,,
0.068,0.625,0,1.0,0.0625,9,3,-3,"""0-2""",,,
1.0,0.667,6,0.97,0.45,4,2,0,"""0-0""",,,
0.382,0.3,6,0.266,0.722,4,2,0,"""0-0""",,,
0.045,0.944,4,0.084,0.167,3,3,7,"""7-0""",,,
0.123,0.625,2,1.0,0.6,9,3,0,"""0-1""",,,
0.789,0.15,6,0.236,0.6,1,3,-1,"""0-1""",,,
0.49,0.063,3,0.282,0.154,7,1,1,"""3-2""",,,
0.12,0.85,7,0.08,0.45,1,2,0,"""0-0""",,,
0.55,0.65,4,0.562,0.25,9,3,-2,"""0-2""",,,
0.5,0.1,4,0.19,0.2,4,2,0,"""2-2""",,,
0.211,0.393,1,0.202,0.5,4,1,2,"""2-1""",,,
0.525,0.056,4,0.048,0.154,0,1,3,"""3-0""",,,
0.574,0.889,5,0.123,0.333,6,1,1,"""2-1""",,,
0.092,0.6,4,0.072,0.667,2,3,-2,"""0-2""",,,
0.807,0.063,6,0.541,0.708,6,1,1,"""0-2""",,,
0.156,0.2,7,0.163,0.071,7,1,1,"""2-1""",,,
0.068,0.15,6,0.612,0.6,6,1,2,"""1-3""",,,
0.499,0.1,3,0.795,0.667,0,3,-1,"""0-1""",,,
0.609,0.55,4,0.295,0.688,5,1,3,"""3-0""",,,
0.487,0.111,5,0.219,0.667,6,1,1,"""1-0""",,,
0.545,0.9,4,0.409,0.5,4,2,0,"""1-3""",,,
0.502,0.667,5,0.043,1.0,1,2,0,"""0-0""",,,
0.237,0.15,3,0.084,0.95,0,1,7,"""4-1""",,,
0.208,0.85,6,0.795,0.778,4,2,0,"""0-2""",,,
0.073,0.5,3,0.278,0.85,4,1,1,"""4-1""",,,
0.455,0.833,3,0.093,0.222,4,2,0,"""0-0""",,,
0.184,0.778,4,0.675,0.15,5,2,0,"""1-1""",,,
0.199,0.375,6,0.269,0.6,1,2,0,"""0-0""",,,
0.5,0.5,2,0.409,0.9,9,2,0,"""2-2""",,,
0.273,0.25,6,0.398,0.55,3,3,-1,"""2-3""",,,
0.501,0.389,5,0.163,0.2,3,2,0,"""0-0""",,,
0.478,0.15,6,0.206,0.464,6,1,-3,"""3-2""",,,
0.173,0.5,1,0.462,0.111,4,2,0,"""2-2""",,,
0.743,0.15,7,0.397,0.4,4,1,2,"""1-3""",,,
0.208,0.944,6,0.094,0.6,1,2,0,"""1-1""",,,
0.06,0.833,5,0.505,0.65,4,1,2,"""3-1""",,,
0.609,0.438,4,0.22,0.429,5,1,3,"""3-0""",,,
0.485,0.3,7,0.202,0.7,4,2,0,"""0-0""",,,
0.133,0.111,2,0.344,0.0625,7,1,1,"""1-0""",,,
0.382,0.4,3,0.281,0.409,4,2,0,"""0-0""",,,
0.343,0.167,3,0.051,0.667,7,1,1,"""3-2""",,,
0.597,0.063,6,0.519,0.591,7,1,1,"""3-2""",,,
0.32,0.45,3,0.544,0.85,4,1,1,"""2-0""",,,
