value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.199,0.85,3,0.093,0.7,1,2,0,"""3-3""",,,
0.743,0.5,5,0.815,0.25,2,3,-2,"""0-2""",,,
1.0,0.3,3,0.54,0.1,7,1,1,"""0-1""",,,
0.499,0.667,6,0.108,0.5,6,1,1,"""2-1""",,,
0.555,0.45,4,0.175,0.909,3,1,2,"""2-0""",,,
0.362,0.625,4,0.431,0.85,7,1,1,"""1-0""",,,
0.626,0.429,1,0.989,0.667,7,3,-1,"""1-2""",,,
0.416,0.9,2,0.132,0.889,4,2,0,"""1-1""",,,
0.366,0.45,2,0.19,0.95,3,1,2,"""2-0""",,,
0.223,0.95,4,0.68,0.4,1,1,0,"""3-2""",,,
0.807,0.75,6,0.343,0.8,1,2,0,"""3-3""",,,
0.158,0.4,6,0.326,0.071,6,1,1,"""2-1""",,,
0.266,0.833,2,0.298,0.111,9,3,-4,"""0-4""",,,
1.0,0.389,3,0.139,1.0,1,2,0,"""0-0""",,,
0.156,0.25,4,0.254,0.333,7,1,1,"""2-1""",,,
0.111,0.611,2,0.815,0.455,3,2,0,"""1-1""",,,
1.0,0.75,4,0.409,0.889,3,2,0,"""2-2""",,,
0.211,0.625,3,0.498,0.889,9,2,0,"""2-2""",,,
0.336,0.773,2,0.388,0.889,9,2,0,"""1-1""",,,
1.0,0.1,4,0.132,0.55,3,1,4,"""5-1""",,,
0.478,0.45,3,0.033,0.1,0,1,2,"""2-0""",,,
0.226,0.688,6,0.203,0.5,7,1,1,"""2-1""",,,
0.156,0.25,0,0.566,0.6,3,2,0,"""0-0""",,,
0.203,0.8,4,0.202,0.35,9,2,0,"""1-1""",,,
0.1,1.0,4,0.402,0.167,9,2,0,"""1-1""",,,
0.117,0.9,9,0.275,0.708,3,3,-2,"""2-3""",,,
0.543,0.25,4,0.17,0.15,9,1,1,"""1-1""",,,
0.402,0.167,3,0.271,0.167,2,1,1,"""1-0""",,,
0.578,0.25,4,0.546,0.3,7,1,1,"""0-1""",,,
0.49,0.15,4,0.132,0.4,9,1,1,"""3-1""",,,
0.983,0.05,9,0.1,0.667,7,1,5,"""6-1""",,,
0.882,0.071,7,0.208,0.6,1,2,3,"""4-3""",,,
0.265,0.667,6,0.051,1.0,1,1,1,"""2-0""",,,
0.473,0.85,1,0.072,0.8,4,2,0,"""0-0""",,,
0.11,0.45,7,0.298,0.25,3,3,-1,"""0-1""",,,
0.208,0.167,3,0.08,0.167,9,3,0,"""2-2""",,,
0.381,0.9,3,1.0,0.722,4,2,0,"""1-1""",,,
0.191,0.25,3,0.159,0.6,7,2,0,"""2-2""",,,
0.203,0.667,6,0.431,0.167,2,3,0,"""2-3""",,,
0.199,0.667,6,0.044,0.65,1,2,0,"""1-2""",,,
0.067,0.833,2,0.431,0.111,1,3,-4,"""0-4""",,,
0.609,0.65,4,0.044,0.688,5,1,3,"""3-0""",,,
0.218,0.889,4,0.786,0.4,3,3,-2,"""0-1""",,,
0.13,0.444,2,1.0,0.611,9,3,-2,"""0-2""",,,
0.191,0.45,2,0.348,0.1,9,3,-1,"""0-1""",,,
0.265,0.75,3,0.546,0.556,4,1,1,"""2-1""",,,
0.661,0.75,6,0.219,0.5,6,1,1,"""2-1""",,,
0.518,0.222,5,0.488,0.1,9,1,1,"""1-0""",,,
0.073,0.389,3,0.084,0.4,9,3,-2,"""0-1""",,,
0.032,0.75,3,0.132,0.35,9,2,0,"""1-1""",,,
0.265,0.9,3,0.6,0.556,2,1,1,"""2-1""",,,
0.416,0.611,3,1.0,0.125,1,2,0,"""1-1""",,,
0.543,0.15,6,0.766,0.15,3,2,0,"""2-2""",,,
0.265,0.75,3,0.271,0.05,7,1,1,"""1-0""",,,
0.551,1.0,3,1.0,0.389,6,1,-4,"""2-0""",,,
0.363,0.65,2,0.271,0.167,9,2,7,"""2-0""",,,
0.291,0.375,6,0.084,0.0625,1,3,-1,"""0-1""",,,
0.203,0.85,6,0.08,0.7,9,2,0,"""1-1""",,,
0.609,0.438,6,0.126,0.563,1,1,3,"""3-0""",,,
0.068,0.833,2,0.298,0.111,9,3,-4,"""0-4""",,,
0.272,0.7,6,0.6,1.0,7,1,1,"""1-0""",,,
0.208,0.625,4,0.111,0.722,1,2,0,"""1-1""",,,
0.444,0.45,3,0.158,0.231,0,3,-1,"""0-1""",,,
0.551,0.111,9,0.172,0.667,7,1,1,"""1-0""",,,
0.211,0.417,2,0.266,0.083,1,2,0,"""1-1""",,,
0.345,0.167,2,0.206,0.75,7,3,1,"""1-2""",,,
0.502,1.0,3,0.122,0.6,1,3,-1,"""0-1""",,,
0.065,0.571,4,0.281,0.833,5,2,3,"""3-0""",,,
0.243,0.85,6,0.343,1.0,3,2,0,"""1-1""",,,
0.226,0.389,4,0.072,0.438,5,3,0,"""2-2""",,,
0.343,0.5,0,0.435,1.0,1,2,0,"""0-0""",,,
0.882,0.071,6,0.326,0.45,7,1,7,"""4-3""",,,
0.197,0.45,2,0.19,0.25,3,1,2,"""2-0""",,,
0.111,0.05,9,0.501,0.25,3,1,1,"""1-1""",,,
0.292,0.188,6,0.466,0.278,7,2,0,"""1-1""",,,
0.807,0.8,3,1.0,0.455,9,1,1,"""4-3""",,,
0.416,0.2,1,0.877,0.222,4,2,0,"""1-1""",,,
0.109,0.65,2,0.795,0.25,9,3,2,"""3-1""",,,
0.32,0.6,1,0.279,0.5,3,3,-2,"""0-2""",,,
0.882,0.056,4,0.268,0.429,7,1,3,"""4-1""",,,
0.348,0.65,2,0.661,0.1,9,3,-2,"""0-2""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.184,0.15,4,1.0,0.136,9,2,-4,"""1-1""",,,
0.643,0.05,6,0.229,0.7,9,3,-2,"""1-2""",,,
0.197,0.15,3,0.208,0.95,1,1,2,"""2-0""",,,
1.0,1.0,7,0.877,0.75,4,2,1,"""2-2""",,,
0.249,0.15,6,0.063,1.0,3,1,2,"""3-1""",,,
0.551,0.889,3,0.248,0.85,9,1,1,"""2-1""",,,
0.341,0.636,5,0.815,0.125,2,3,-2,"""0-2""",,,
0.518,0.05,9,0.1,0.667,9,1,1,"""2-6""",,,
0.356,0.278,0,0.766,0.25,9,1,1,"""1-0""",,,
0.123,0.429,4,0.151,0.1,7,3,-1,"""1-2""",,,
0.381,0.25,4,0.877,0.083,7,2,0,"""2-2""",,,
0.325,0.4,1,0.566,0.6,1,2,0,"""0-0""",,,
0.34,0.056,6,0.272,0.3,7,1,3,"""4-1""",,,
0.292,0.778,2,0.715,0.1,1,3,-2,"""2-6""",,,
0.5,0.611,3,0.272,0.286,1,2,0,"""2-2""",,,
0.431,0.4,4,0.179,0.9,7,2,0,"""1-1""",,,
1.0,0.9,1,0.349,0.75,0,1,3,"""2-2""",,,
0.243,0.583,1,0.558,0.455,3,3,-2,"""0-2""",,,
0.807,0.222,1,0.075,0.444,9,1,1,"""2-1""",,,
1.0,0.75,0,0.203,1.0,9,1,1,"""1-0""",,,
0.052,0.167,3,0.921,0.438,1,2,1,"""1-1""",,,
0.363,0.3,6,0.366,0.75,0,2,0,"""1-5""",,,
0.578,0.75,3,0.766,0.389,7,3,-1,"""0-1""",,,
0.612,0.5,5,0.815,0.455,3,3,-2,"""1-3""",,,
0.455,1.0,3,0.069,0.95,1,3,-1,"""0-1""",,,
0.278,0.278,4,0.126,0.6,5,3,3,"""3-0""",,,
0.867,0.167,6,0.203,0.444,6,1,1,"""2-1""",,,
0.06,0.3,6,0.391,0.5,6,1,1,"""2-1""",,,
0.366,0.7,3,0.104,0.071,6,1,1,"""1-0""",,,
0.211,0.611,6,0.766,0.75,7,2,0,"""1-1""",,,
0.359,0.05,2,0.573,0.455,7,3,-1,"""0-1""",,,
0.44,0.05,3,0.163,0.95,1,3,-1,"""0-1""",,,
1.0,0.45,6,0.12,0.95,4,1,2,"""2-0""",,,
0.191,0.5,3,0.072,0.8,4,3,-1,"""0-2""",,,
0.962,0.9,3,0.343,0.722,1,2,0,"""1-1""",,,
0.5,0.3,2,0.466,0.6,9,2,0,"""1-1""",,,
0.612,0.35,5,0.266,0.455,3,3,-2,"""1-3""",,,
0.626,0.944,4,0.218,0.5,7,3,1,"""0-1""",,,
0.382,0.611,6,0.462,1.0,1,2,0,"""2-2""",,,
0.5,0.3,4,0.132,0.3,7,2,0,"""1-1""",,,
0.211,0.6,4,0.084,1.0,1,1,3,"""3-0""",,,
0.54,0.563,0,1.0,0.444,6,3,0,"""1-0""",,,
0.551,0.85,3,0.573,0.136,1,3,-1,"""2-3""",,,
0.502,0.25,6,0.043,0.6,0,2,0,"""0-0""",,,
0.11,0.563,7,0.19,0.5,3,1,4,"""3-1""",,,
0.237,0.15,7,0.084,0.95,0,1,3,"""4-2""",,,
0.44,0.05,9,0.54,0.3,7,3,-1,"""1-2""",,,
0.243,0.95,3,0.563,0.5,1,1,1,"""1-0""",,,
0.427,0.45,3,0.19,1.0,3,1,1,"""3-0""",,,
1.0,0.9,4,0.412,0.25,4,1,1,"""3-2""",,,
0.343,0.75,4,0.921,0.889,1,2,0,"""1-1""",,,
0.067,0.833,0,1.0,0.111,6,3,-4,"""1-4""",,,
1.0,0.667,1,0.132,0.222,1,2,0,"""1-1""",,,
0.301,0.571,4,0.398,0.6,3,1,3,"""2-4""",,,
0.1,0.5,3,1.0,0.722,9,2,0,"""2-2""",,,
0.961,0.05,7,0.97,0.75,7,3,-1,"""1-2""",,,
0.109,0.278,2,0.786,0.292,3,3,-1,"""0-1""",,,
0.609,0.438,6,0.051,1.0,1,1,3,"""3-0""",,,
0.584,0.85,7,0.097,0.95,7,1,5,"""1-2""",,,
0.55,0.15,4,0.17,0.636,4,1,1,"""1-5""",,,
0.402,0.333,6,0.563,0.278,1,2,0,"""1-2""",,,
0.272,0.8,6,0.849,0.6,9,2,0,"""1-1""",,,
0.06,0.591,2,0.214,0.7,9,1,2,"""2-0""",,,
0.359,0.179,7,0.202,0.4,9,1,1,"""2-1""",,,
0.5,0.25,5,0.248,0.15,2,1,1,"""1-0""",,,
0.58,0.85,3,0.206,0.9,3,3,1,"""1-0""",,,
0.518,0.5,4,0.202,1.0,1,1,3,"""1-1""",,,
0.08,0.8,0,1.0,0.2,9,2,0,"""1-1""",,,
0.626,1.0,3,0.853,0.95,5,3,-1,"""0-1""",,,
0.584,0.55,2,0.206,0.667,7,1,5,"""2-0""",,,
0.208,0.85,3,1.0,0.1,4,3,-1,"""0-1""",,,
0.084,0.222,3,0.059,0.85,6,1,2,"""2-0""",,,
0.291,0.45,7,0.158,0.389,3,3,-1,"""4-3""",,,
0.265,0.889,3,0.093,0.722,6,1,1,"""2-1""",,,
0.114,0.2,6,0.202,0.083,1,2,0,"""1-1""",,,
0.304,0.45,7,0.397,0.1,0,1,2,"""4-2""",,,
0.272,0.8,4,0.206,0.45,6,3,1,"""2-3""",,,
0.292,0.5,4,0.466,0.889,7,2,0,"""1-1""",,,
0.065,0.1,6,0.084,0.278,6,1,3,"""7-0""",,,
0.983,0.05,9,0.059,0.667,7,3,5,"""6-1""",,,
0.184,0.85,1,0.558,0.2,2,3,-2,"""0-2""",,,
0.382,0.85,4,0.163,0.45,7,3,-2,"""0-2""",,,
0.518,0.75,3,0.558,0.2,5,2,3,"""2-2""",,,
0.356,0.625,3,0.272,0.6,9,2,0,"""1-1""",,,
0.465,0.188,4,0.06,0.944,1,1,2,"""3-1""",,,
0.55,0.75,4,0.042,0.75,5,3,3,"""2-3""",,,
0.272,0.95,1,0.633,0.8,2,1,1,"""2-1""",,,
0.418,0.85,4,0.249,0.889,9,2,0,"""1-1""",,,
0.381,0.071,4,0.642,0.409,9,2,0,"""1-1""",,,
0.098,0.333,7,0.19,0.45,3,1,-1,"""0-1""",,,
0.173,0.85,7,0.218,0.65,4,2,0,"""0-0""",,,
0.363,0.591,2,0.093,0.333,0,1,2,"""2-0""",,,
0.203,0.85,4,0.731,0.45,9,2,0,"""1-1""",,,
0.142,0.9,2,0.111,1.0,6,2,0,"""1-1""",,,
0.325,0.071,5,0.343,0.679,1,2,0,"""0-0""",,,
0.5,0.25,4,0.059,0.1,9,1,1,"""1-1""",,,
0.108,0.75,3,0.402,0.071,7,1,1,"""1-0""",,,
0.203,0.5,6,0.431,0.364,1,2,0,"""0-0""",,,
0.578,0.722,2,0.298,0.1,9,1,2,"""2-0""",,,
0.073,0.9,4,1.0,0.389,5,3,-1,"""0-1""",,,
0.278,0.15,7,0.048,0.688,1,1,3,"""3-0""",,,
0.346,0.333,6,0.094,0.95,0,3,-1,"""1-2""",,,
0.5,1.0,3,0.093,0.5,9,2,1,"""1-1""",,,
0.5,0.3,4,0.076,0.1,3,2,0,"""1-1""",,,
0.366,0.65,3,0.522,0.6,9,3,-2,"""0-2""",,,
0.402,0.611,1,0.12,0.85,4,1,2,"""3-1""",,,
0.237,0.15,6,0.084,0.95,0,1,2,"""4-2""",,,
0.083,0.591,3,0.77,0.188,6,1,2,"""3-1""",,,
0.743,0.9,4,0.661,0.333,3,3,-2,"""0-2""",,,
0.123,1.0,2,0.295,0.125,9,2,0,"""1-1""",,,
0.042,0.222,6,0.989,0.1,6,3,-1,"""0-1""",,,
0.109,0.625,4,0.207,0.25,9,3,-3,"""0-2""",,,
0.518,0.2,1,0.203,0.8,9,1,1,"""2-1""",,,
0.34,0.05,3,0.108,0.667,7,1,-1,"""2-1""",,,
1.0,0.15,3,0.389,0.222,3,1,2,"""3-2""",,,
0.34,0.95,5,0.788,0.455,3,3,-2,"""1-3""",,,
0.265,0.75,0,0.406,0.8,9,1,1,"""1-0""",,,
0.102,0.773,4,0.076,0.056,9,2,0,"""1-1""",,,
0.123,0.944,3,0.786,0.357,9,3,-1,"""0-1""",,,
0.318,0.167,2,0.179,0.3,9,3,-1,"""1-1""",,,
0.983,0.05,9,0.1,0.667,7,1,5,"""6-1""",,,
0.527,0.15,0,0.219,0.15,3,2,0,"""1-1""",,,
0.444,1.0,3,0.158,1.0,1,3,-1,"""0-1""",,,
0.1,0.4,4,0.54,0.05,7,3,-1,"""1-1""",,,
0.518,0.85,4,0.17,0.1,9,1,1,"""1-0""",,,
0.035,0.35,2,0.072,0.125,9,3,-2,"""0-2""",,,
1.0,0.6,4,0.488,0.3,7,1,5,"""4-0""",,,
0.266,0.65,2,0.661,0.1,9,3,-4,"""1-4""",,,
0.243,0.6,4,0.059,0.3,7,1,1,"""6-1""",,,
0.485,0.15,6,0.094,0.75,1,2,0,"""2-0""",,,
0.412,0.556,2,0.075,0.6,4,3,-1,"""0-1""",,,
0.61,0.125,9,0.786,0.042,6,3,-3,"""0-3""",,,
0.158,0.25,1,0.132,0.1,9,1,1,"""3-2""",,,
0.123,0.636,4,0.072,0.25,2,3,-2,"""0-2""",,,
0.045,0.35,2,0.254,0.25,3,1,2,"""3-1""",,,
1.0,0.429,3,0.084,0.55,0,1,3,"""2-0""",,,
0.555,0.15,3,0.349,0.9,1,1,2,"""2-0""",,,
0.867,0.063,3,0.108,1.0,6,1,1,"""2-1""",,,
0.226,0.636,7,0.097,0.5,7,3,-1,"""1-2""",,,
0.208,0.5,6,0.882,0.6,6,2,0,"""2-6""",,,
0.343,0.563,6,0.877,0.889,1,2,0,"""1-1""",,,
0.362,0.889,6,0.15,0.5,6,1,1,"""2-1""",,,
0.123,0.563,3,0.07,0.6,3,3,-1,"""0-1""",,,
0.609,0.438,6,0.295,0.875,5,1,3,"""3-0""",,,
0.61,0.125,9,0.435,0.313,5,3,-3,"""0-3""",,,
0.363,0.444,2,0.398,1.0,1,1,2,"""0-1""",,,
0.301,0.65,3,0.076,0.1,3,1,2,"""3-1""",,,
0.382,0.3,4,0.131,0.75,0,2,0,"""1-1""",,,
0.223,0.1,3,0.807,1.0,3,1,2,"""1-0""",,,
0.156,0.1,1,0.788,0.15,3,2,0,"""1-1""",,,
1.0,0.278,4,0.344,0.1,7,1,2,"""3-1""",,,
0.218,0.65,4,0.063,0.833,5,1,3,"""3-0""",,,
0.117,0.636,7,0.275,0.45,3,3,-2,"""0-2""",,,
0.427,0.15,4,0.19,0.65,3,1,2,"""2-0""",,,
0.499,0.889,7,0.219,0.556,6,1,1,"""2-1""",,,
0.543,0.9,0,1.0,0.722,6,2,0,"""1-1""",,,
0.098,0.6,6,1.0,0.45,7,3,-1,"""0-1""",,,
0.301,0.722,7,0.208,0.778,3,1,2,"""3-1""",,,
0.459,0.05,9,0.853,0.667,7,3,-1,"""1-2""",,,
0.102,0.05,2,0.1,0.2,7,3,-2,"""0-2""",,,
0.363,0.95,3,0.15,0.95,1,1,-1,"""0-1""",,,
0.578,1.0,3,0.962,0.6,1,3,-1,"""0-1""",,,
0.772,0.375,6,0.033,0.417,3,3,-2,"""3-2""",,,
0.065,0.15,6,0.155,0.107,3,2,0,"""1-1""",,,
0.578,0.167,3,0.042,0.1,9,1,1,"""1-0""",,,
0.626,0.55,9,0.715,0.107,7,3,-1,"""1-2""",,,
0.518,0.35,4,0.072,0.85,4,1,2,"""4-2""",,,
1.0,1.0,0,0.642,0.55,6,1,1,"""1-1""",,,
1.0,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.764,0.85,3,0.249,0.889,1,2,0,"""1-1""",,,
0.266,1.0,2,1.0,0.111,9,3,-4,"""3-1""",,,
0.478,0.667,2,0.205,0.25,1,3,-4,"""1-2""",,,
0.584,0.6,4,0.214,0.438,7,1,2,"""2-0""",,,
0.218,0.438,6,0.295,1.0,1,1,3,"""3-0""",,,
0.764,0.15,6,0.703,0.2,1,2,0,"""0-0""",,,
0.185,0.65,2,0.661,0.1,9,3,-4,"""0-2""",,,
0.739,0.9,7,0.093,0.15,7,3,0,"""1-2""",,,
0.525,0.35,5,0.788,0.6,3,1,2,"""3-1""",,,
0.459,0.05,9,0.853,0.357,7,3,-1,"""1-2""",,,
1.0,0.75,1,0.462,0.65,2,2,0,"""1-1""",,,
0.123,0.05,4,0.06,0.4,6,3,-1,"""0-1""",,,
0.343,0.214,3,0.219,0.65,1,2,0,"""1-1""",,,
0.356,0.2,3,0.882,0.083,1,2,0,"""1-1""",,,
0.857,0.1,1,0.282,0.833,9,1,1,"""1-0""",,,
0.44,1.0,7,0.435,0.136,1,3,-1,"""0-1""",,,
0.336,0.188,3,0.072,0.45,3,2,0,"""3-3""",,,
0.343,0.625,4,0.877,0.75,7,2,0,"""1-1""",,,
0.272,0.85,1,0.084,0.45,9,1,1,"""1-0""",,,
0.266,0.65,2,0.315,0.0625,9,3,-4,"""0-1""",,,
0.185,0.65,2,0.661,0.455,9,3,-2,"""0-2""",,,
0.304,0.222,3,0.108,0.5,2,1,1,"""2-1""",,,
0.49,0.95,3,0.286,0.1,9,1,1,"""3-1""",,,
0.218,0.5,6,0.07,0.25,2,3,-2,"""0-2""",,,
0.336,0.136,3,0.409,0.083,9,1,0,"""1-1""",,,
0.612,0.85,3,0.496,0.45,3,3,-2,"""0-2""",,,
0.199,0.85,1,0.111,0.75,1,2,0,"""1-1""",,,
0.342,0.75,0,0.097,0.708,2,1,1,"""1-0""",,,
0.292,0.611,4,0.211,0.833,5,1,0,"""3-0""",,,
0.278,0.571,6,0.06,0.875,1,1,3,"""3-0""",,,
0.301,0.591,2,0.214,0.25,9,1,2,"""3-1""",,,
0.412,1.0,4,1.0,0.6,6,2,0,"""1-1""",,,
0.54,0.889,3,0.223,0.231,0,1,2,"""3-0""",,,
0.243,0.708,3,0.072,0.3,4,2,0,"""4-3""",,,
0.229,0.25,2,0.344,0.107,9,1,2,"""3-3""",,,
0.5,0.25,9,0.385,0.3,9,1,1,"""1-0""",,,
0.336,0.7,4,0.68,1.0,1,2,0,"""2-2""",,,
0.226,0.95,0,0.203,0.444,6,1,1,"""2-1""",,,
0.661,0.5,7,0.633,0.0625,9,2,0,"""1-1""",,,
0.208,0.625,6,0.051,0.75,9,2,0,"""1-1""",,,
0.543,0.2,2,0.249,0.7,1,2,0,"""2-2""",,,
0.266,0.833,2,0.229,0.111,9,3,-4,"""0-4""",,,
0.454,0.333,0,1.0,0.1,9,1,1,"""1-0""",,,
0.237,0.077,3,0.093,0.95,3,1,2,"""2-0""",,,
0.235,0.8,0,0.815,0.1,9,2,0,"""3-3""",,,
0.502,1.0,0,0.68,0.2,3,2,0,"""1-1""",,,
0.291,0.667,6,0.125,0.65,2,1,1,"""1-0""",,,
0.381,0.5,6,0.786,0.222,9,2,0,"""1-1""",,,
0.226,0.5,1,0.462,0.083,3,1,1,"""2-2""",,,
0.159,0.15,2,0.072,0.7,4,1,2,"""2-0""",,,
0.243,0.4,3,1.0,0.85,9,1,1,"""2-0""",,,
0.518,0.75,3,0.315,0.8,9,1,1,"""2-1""",,,
0.203,0.15,2,0.795,0.5,6,2,1,"""2-2""",,,
0.478,0.4,4,0.12,0.1,9,1,2,"""4-2""",,,
0.466,1.0,3,0.853,0.6,9,2,0,"""0-0""",,,
0.416,0.417,4,0.266,0.3,3,2,0,"""2-2""",,,
0.882,0.05,4,0.179,0.688,7,3,7,"""1-2""",,,
0.574,0.25,4,0.703,0.75,9,2,0,"""1-1""",,,
0.374,0.15,3,0.223,0.75,1,2,0,"""0-0""",,,
0.643,0.417,4,0.159,0.083,7,3,-1,"""0-1""",,,
0.465,0.7,4,0.315,0.05,4,1,1,"""1-0""",,,
0.416,0.5,2,0.043,0.3,3,2,0,"""1-1""",,,
0.612,0.95,5,0.275,0.65,4,3,-2,"""1-3""",,,
0.08,0.3,6,0.566,0.125,1,2,0,"""1-1""",,,
0.341,0.056,6,0.048,0.45,4,2,0,"""1-1""",,,
0.117,0.9,4,0.487,0.25,2,3,-2,"""0-2""",,,
0.291,0.75,3,0.229,0.25,4,3,-2,"""3-1""",,,
0.173,0.65,3,0.278,0.1,3,1,3,"""1-2""",,,
0.191,0.333,3,0.431,0.231,1,3,-1,"""0-1""",,,
0.1,0.444,2,0.033,1.0,0,1,1,"""1-0""",,,
0.052,0.214,3,0.612,1.0,1,1,3,"""2-0""",,,
0.772,0.85,1,0.223,0.5,9,2,0,"""2-1""",,,
0.362,0.15,6,0.612,0.6,6,1,2,"""4-2""",,,
0.086,0.25,4,0.248,0.1,7,1,1,"""1-0""",,,
1.0,0.55,9,0.268,0.55,3,1,4,"""5-1""",,,
0.292,0.85,1,0.072,0.35,4,2,0,"""1-1""",,,
0.102,0.15,6,0.269,0.6,1,3,-1,"""0-1""",,,
0.099,0.389,0,1.0,0.35,6,2,0,"""1-1""",,,
0.867,0.333,4,0.326,0.4,6,1,2,"""2-0""",,,
0.073,0.85,3,0.158,0.45,4,2,0,"""0-0""",,,
0.348,0.75,7,0.298,0.389,9,1,-2,"""0-2""",,,
0.086,0.722,0,0.703,0.75,6,1,2,"""3-1""",,,
0.626,0.4,4,0.535,0.1,1,3,-1,"""0-1""",,,
0.499,0.278,3,0.398,1.0,1,1,3,"""2-0""",,,
0.054,0.45,4,0.229,0.6,9,3,-1,"""0-1""",,,
1.0,0.85,6,0.565,0.4,6,1,1,"""2-1""",,,
0.487,0.25,1,0.703,0.1,9,1,1,"""1-0""",,,
0.545,0.1,6,0.203,0.556,1,1,1,"""2-1""",,,
0.961,0.05,9,0.1,0.667,7,1,5,"""6-1""",,,
0.44,0.889,9,0.084,0.95,3,3,-1,"""1-2""",,,
