value_h,rank_h,pts_last3_h,value_a,rank_a,pts_last3_a,result,difference,score,1_home_win,2_draw,3_away_win
0.098,0.375,0,0.072,0.455,2,3,-2,"""0-2""",,,
0.578,0.889,3,0.366,0.438,1,3,-1,"""0-0""",,,
0.055,0.85,3,0.172,0.111,0,3,-1,"""4-0""",,,
0.173,0.75,6,0.435,0.0625,6,3,-2,"""0-1""",,,
0.203,0.188,9,0.072,0.2,3,2,0,"""1-1""",,,
0.162,0.3,7,0.125,0.071,6,1,2,"""2-1""",,,
0.409,0.111,9,0.223,0.35,3,2,0,"""1-1""",,,
0.5,0.607,4,0.126,0.3,7,3,0,"""1-1""",,,
0.226,0.95,7,0.064,0.85,2,1,-2,"""0-2""",,,
0.807,0.15,6,0.042,0.95,3,1,2,"""4-2""",,,
0.525,0.125,9,0.084,0.9,5,1,3,"""3-0""",,,
0.402,0.15,7,0.042,1.0,1,3,3,"""1-2""",,,
1.0,0.688,2,0.788,0.15,3,2,0,"""1-1""",,,
0.44,1.0,0,1.0,0.1,6,3,-3,"""0-2""",,,
0.265,0.2,1,0.219,0.05,6,1,1,"""2-1""",,,
0.068,0.625,0,1.0,0.778,2,3,-2,"""0-2""",,,
0.42,0.75,2,0.066,0.3,9,2,0,"""2-2""",,,
0.092,0.35,0,0.252,0.778,2,3,-2,"""0-2""",,,
0.61,0.125,9,0.609,0.313,6,3,-3,"""0-3""",,,
0.211,0.05,9,0.642,0.45,7,2,0,"""2-2""",,,
0.444,0.85,7,0.989,1.0,4,1,1,"""0-1""",,,
0.068,0.625,0,1.0,0.042,9,3,-3,"""0-3""",,,
0.348,0.6,0,0.795,0.778,2,3,-2,"""0-2""",,,
0.412,0.85,5,0.208,0.65,3,1,2,"""3-1""",,,
0.321,0.056,4,0.278,0.7,5,1,3,"""3-0""",,,
0.427,0.05,6,0.163,0.107,3,3,-1,"""1-2""",,,
0.789,0.9,2,0.044,0.889,9,2,0,"""1-1""",,,
0.111,0.3,3,0.08,0.7,1,2,0,"""0-0""",,,
0.098,0.75,2,0.072,0.125,5,2,0,"""1-1""",,,
0.454,0.1,9,0.132,0.55,3,1,4,"""5-1""",,,
0.32,0.136,3,0.12,0.778,7,1,1,"""1-0""",,,
0.203,0.056,0,0.269,0.4,4,2,-1,"""3-0""",,,
1.0,0.4,6,0.882,0.167,6,1,1,"""1-0""",,,
0.502,0.278,5,0.388,0.444,2,1,1,"""5-1""",,,
0.273,0.55,1,0.326,0.8,4,2,0,"""0-2""",,,
0.184,0.909,3,0.77,0.2,0,2,0,"""1-1""",,,
